Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,Sales_per_person
85,5,2015-07-31,7791,971,1,1,0,1,8.023686921
85,4,2015-07-30,7187,1000,1,1,0,1,7.187
85,3,2015-07-29,7719,889,1,1,0,1,8.682789651
85,2,2015-07-28,7533,920,1,1,0,1,8.188043478
85,1,2015-07-27,7788,956,1,1,0,1,8.146443515
85,7,2015-07-26,11421,1606,1,0,0,0,7.111457036
85,6,2015-07-25,5099,834,1,0,0,0,6.113908873
85,5,2015-07-24,5791,831,1,0,0,1,6.968712395
85,4,2015-07-23,5223,802,1,0,0,1,6.512468828
85,3,2015-07-22,5504,821,1,0,0,1,6.704019488
85,2,2015-07-21,5206,791,1,0,0,1,6.581542351
85,1,2015-07-20,6502,935,1,0,0,1,6.954010695
85,7,2015-07-19,13275,1633,1,0,0,0,8.129210043
85,6,2015-07-18,5424,811,1,0,0,0,6.688039457
85,5,2015-07-17,7750,1006,1,1,0,1,7.703777336
85,4,2015-07-16,6985,897,1,1,0,1,7.787068004
85,3,2015-07-15,7476,917,1,1,0,0,8.152671756
85,2,2015-07-14,7626,965,1,1,0,0,7.902590674
85,1,2015-07-13,9198,1088,1,1,0,0,8.454044118
85,7,2015-07-12,13183,1615,1,0,0,0,8.162848297
85,6,2015-07-11,5383,657,1,0,0,0,8.193302892
85,5,2015-07-10,6471,898,1,0,0,0,7.206013363
85,4,2015-07-09,5766,855,1,0,0,0,6.743859649
85,3,2015-07-08,6705,886,1,0,0,0,7.56772009
85,2,2015-07-07,5215,827,1,0,0,0,6.30592503
85,1,2015-07-06,6584,919,1,0,0,0,7.164309032
85,7,2015-07-05,12070,1734,1,0,0,0,6.960784314
85,6,2015-07-04,5347,790,1,0,0,0,6.76835443
85,5,2015-07-03,8581,1027,1,1,0,0,8.35540409
85,4,2015-07-02,7553,932,1,1,0,0,8.104077253
85,3,2015-07-01,7820,1016,1,1,0,0,7.696850394
85,2,2015-06-30,8471,1003,1,1,0,0,8.445663011
85,1,2015-06-29,8833,1009,1,1,0,0,8.754212091
85,7,2015-06-28,11055,1520,1,0,0,0,7.273026316
85,6,2015-06-27,5339,756,1,0,0,0,7.062169312
85,5,2015-06-26,5524,867,1,0,0,0,6.371395617
85,4,2015-06-25,5968,844,1,0,0,0,7.071090047
85,3,2015-06-24,6067,887,1,0,0,0,6.839909808
85,2,2015-06-23,6086,879,1,0,0,0,6.923777019
85,1,2015-06-22,5944,850,1,0,0,0,6.992941176
85,7,2015-06-21,11522,1676,1,0,0,0,6.874701671
85,6,2015-06-20,4615,705,1,0,0,0,6.546099291
85,5,2015-06-19,6796,920,1,1,0,0,7.386956522
85,4,2015-06-18,6745,857,1,1,0,0,7.870478413
85,3,2015-06-17,6809,929,1,1,0,0,7.329386437
85,2,2015-06-16,7425,976,1,1,0,0,7.607581967
85,1,2015-06-15,8961,1032,1,1,0,0,8.683139535
85,7,2015-06-14,12421,1610,1,0,0,0,7.714906832
85,6,2015-06-13,4676,731,1,0,0,0,6.396716826
85,5,2015-06-12,6145,903,1,0,0,0,6.805094131
85,4,2015-06-11,5961,849,1,0,0,0,7.021201413
85,3,2015-06-10,5444,868,1,0,0,0,6.271889401
85,2,2015-06-09,6182,851,1,0,0,0,7.26439483
85,1,2015-06-08,6626,896,1,0,0,0,7.395089286
85,7,2015-06-07,12728,1701,1,0,0,0,7.48265726
85,6,2015-06-06,4996,719,1,0,0,0,6.948539638
85,5,2015-06-05,7349,984,1,1,0,0,7.468495935
85,4,2015-06-04,7352,994,1,1,0,0,7.39637827
85,3,2015-06-03,9065,1020,1,1,0,0,8.887254902
85,2,2015-06-02,8099,1046,1,1,0,0,7.742829828
85,1,2015-06-01,9860,1114,1,1,0,0,8.850987433
85,7,2015-05-31,12040,1647,1,0,0,0,7.310261081
85,6,2015-05-30,5958,804,1,0,0,0,7.410447761
85,5,2015-05-29,6678,864,1,0,0,0,7.729166667
85,4,2015-05-28,5399,809,1,0,0,0,6.673671199
85,3,2015-05-27,6272,852,1,0,0,0,7.361502347
85,2,2015-05-26,6888,984,1,0,0,1,7
85,1,2015-05-25,13018,1843,1,0,a,0,7.063483451
85,7,2015-05-24,11124,1493,1,0,0,0,7.450770261
85,6,2015-05-23,5141,684,1,0,0,0,7.516081871
85,5,2015-05-22,6621,918,1,1,0,0,7.212418301
85,4,2015-05-21,5894,777,1,1,0,0,7.585585586
85,3,2015-05-20,5674,745,1,1,0,0,7.616107383
85,2,2015-05-19,7003,887,1,1,0,0,7.895152198
85,1,2015-05-18,8118,1011,1,1,0,0,8.029673591
85,7,2015-05-17,11456,1629,1,0,0,0,7.032535298
85,6,2015-05-16,5458,746,1,0,0,0,7.316353887
85,5,2015-05-15,5902,819,1,0,0,1,7.206349206
85,4,2015-05-14,14501,1848,1,0,a,0,7.846861472
85,3,2015-05-13,7121,1026,1,0,0,0,6.940545809
85,2,2015-05-12,5274,761,1,0,0,0,6.930354796
85,1,2015-05-11,5943,854,1,0,0,0,6.959016393
85,7,2015-05-10,13336,1633,1,0,0,0,8.166564605
85,6,2015-05-09,4702,613,1,0,0,0,7.670473083
85,5,2015-05-08,6171,818,1,1,0,0,7.54400978
85,4,2015-05-07,6363,785,1,1,0,0,8.105732484
85,3,2015-05-06,6592,790,1,1,0,0,8.344303797
85,2,2015-05-05,6618,796,1,1,0,0,8.314070352
85,1,2015-05-04,8766,1042,1,1,0,0,8.412667946
85,7,2015-05-03,7896,1186,1,0,0,0,6.65767285
85,6,2015-05-02,6463,941,1,0,0,0,6.868225292
85,5,2015-05-01,11360,1643,1,1,a,0,6.914181376
85,4,2015-04-30,9697,1252,1,1,0,0,7.745207668
85,3,2015-04-29,7349,935,1,1,0,0,7.859893048
85,2,2015-04-28,7712,986,1,1,0,0,7.821501014
85,1,2015-04-27,8744,1064,1,1,0,0,8.218045113
85,7,2015-04-26,11850,1544,1,0,0,0,7.674870466
85,6,2015-04-25,5460,732,1,0,0,0,7.459016393
85,5,2015-04-24,6847,919,1,0,0,0,7.450489663
85,4,2015-04-23,4491,693,1,0,0,0,6.480519481
85,3,2015-04-22,4652,723,1,0,0,0,6.434301521
85,2,2015-04-21,5723,815,1,0,0,0,7.02208589
85,1,2015-04-20,6433,943,1,0,0,0,6.821845175
85,7,2015-04-19,10711,1495,1,0,0,0,7.164548495
85,6,2015-04-18,5201,709,1,0,0,0,7.335684062
85,5,2015-04-17,8591,1048,1,1,0,0,8.197519084
85,4,2015-04-16,7611,914,1,1,0,0,8.327133479
85,3,2015-04-15,7509,925,1,1,0,0,8.117837838
85,2,2015-04-14,7525,1019,1,1,0,0,7.384690873
85,1,2015-04-13,8583,1140,1,1,0,0,7.528947368
85,7,2015-04-12,12072,1694,1,0,0,0,7.126328217
85,6,2015-04-11,5073,751,1,0,0,0,6.754993342
85,5,2015-04-10,6162,910,1,0,0,1,6.771428571
85,4,2015-04-09,5434,824,1,0,0,1,6.594660194
85,3,2015-04-08,6363,932,1,0,0,1,6.827253219
85,2,2015-04-07,6636,974,1,0,0,1,6.813141684
85,1,2015-04-06,11675,1706,1,0,b,1,6.843493552
85,7,2015-04-05,10110,1389,1,0,0,0,7.278617711
85,6,2015-04-04,7141,1010,1,0,0,0,7.07029703
